COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV011522,Cc1ccc(Nc2nc(N)c3ccccc3n2)cc1Cl,5.4,MMV,284.08,3.92,2,4,63.83,2
MMV020243,Cc1cc(N(C)C)nc(Nc2ccc(NC(=O)Nc3ccccc3)cc2)n1,5.94,MMV,362.19,4.24,3,5,82.18,5
MMV667489,COC(=O)c1ccc(Cl)c2c1C1C=CCC1C(c1cccc3ccccc13)N2,6.03,MMV,389.12,6.11,1,3,38.33,2
MMV396770,O=C(NNc1cc(N2CCCC2)nc(N2CCCC2)n1)c1ccccc1,5.88,MMV,352.2,2.43,2,6,73.39,5
MMV009015,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCCCC1,6.17,MMV,367.21,3.73,1,4,49.77,9
MMV008829,CCCn1c(=N)c(C(=O)NC2CCCCC2)cc2c(=O)n3cccc(C)c3nc21,5.96,MMV,393.22,2.91,2,6,92.25,4
MMV011895,Nc1ccc(-c2nc3cc(Oc4ccc(Oc5ccc6[nH]c(-c7ccc(N)cc7)nc6c5)cc4)ccc3[nH]2)cc1,6.07,MMV,524.2,7.52,4,6,127.86,6
MMV666689,COc1ccc(Nc2nc(NN=Cc3ccc(O)cc3)nc(Nc3ccc([N+](=O)[O-])cc3)n2)cc1,6.27,MMV,472.16,4.43,4,11,159.72,9
MMV665824,Cn1c(C(=O)c2cccc3ccccc23)nc2ccccc21,,MMV,286.11,3.96,0,3,34.89,2
MMV665812,CCc1ccc(CNCC(O)c2ccccc2)cc1,,MMV,255.16,3.07,2,2,32.26,6
MMV001041,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc2ccccc12,6.23,MMV,348.05,4.08,3,5,70.07,5
